pause_id,start_sec,end_sec,duration_sec,threshold_sec,speaker_context,pause_location_candidate,location_confidence,needs_word_alignment,needs_clause_boundary,previous_utterance_id,previous_speaker,previous_text,next_utterance_id,next_speaker,next_text,containing_utterance_id,containing_speaker,containing_text,overlapping_utterance_id,overlapping_speaker,overlapping_text,previous_word,next_word,word_timing_source,notes
p_0001,0,0.744219,0.744,0.25,partial_utterance_overlap,utterance_edge_overlap_requires_word_alignment,low,true,true,,,,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",,,,1,Todd,"OK, Simon, let's go get something to eat? Let's go out to dinner. I'm really hungry.",,ok (utt_0001_w001),forced_alignment,pause partially overlaps an utterance interval; word timing is required before location labeling
p_0002,2.392219,2.808219,0.416,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,,,,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",1,Todd,"OK, Simon, let's go get something to eat? Let's go out to dinner. I'm really hungry.",,,,go (utt_0001_w004),get (utt_0001_w005),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0003,5.872219,7.216219,1.344,0.25,partial_utterance_overlap,turn_boundary_by_word_alignment,medium,false,true,,,,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,1,Todd,"OK, Simon, let's go get something to eat? Let's go out to dinner. I'm really hungry.",hungry (utt_0001_w016),ok (utt_0002_w002),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0004,14.216219,14.544219,0.328,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,there's (utt_0003_w005),few (utt_0003_w007),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0005,17.600219,17.864219,0.264,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w013),there's (utt_0003_w014),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0006,17.968219,18.424219,0.456,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w013),a (utt_0003_w015),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0007,19.328219,19.632219,0.304,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,there's (utt_0003_w014),grilled (utt_0003_w016),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0008,22.096219,23.120219,1.024,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w018),is (utt_0003_w020),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0009,24.128219,24.568219,0.44,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,a (utt_0003_w021),fish (utt_0003_w022),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0010,25.736219,26.440219,0.704,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w023),there (utt_0003_w025),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0011,28.144219,28.672219,0.528,0.25,within_utterance,turn_boundary_by_word_alignment,medium,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,diner (utt_0003_w029),family (utt_0004_w001),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0012,28.792219,29.152219,0.36,0.25,speaker_change,turn_boundary_by_word_alignment,medium,false,true,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",4,Simon,Family diner. What's that?,,,,,,,diner (utt_0003_w029),family (utt_0004_w001),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0013,34.072219,35.784219,1.712,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,4,Simon,Family diner. What's that?,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",5,Todd,"The family diner is one of those restaurants that they serve many types of food, for example they have noodles, they have pasta, they have hamburger, they have salad. Pretty much anyone in the family could order what they want. They have desserts, things like that.",,,,of (utt_0005_w006),restaurants (utt_0005_w008),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0014,46.336219,47.000219,0.664,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,4,Simon,Family diner. What's that?,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",5,Todd,"The family diner is one of those restaurants that they serve many types of food, for example they have noodles, they have pasta, they have hamburger, they have salad. Pretty much anyone in the family could order what they want. They have desserts, things like that.",,,,salad (utt_0005_w029),pretty (utt_0005_w030),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0015,50.208219,50.808219,0.6,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,4,Simon,Family diner. What's that?,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",5,Todd,"The family diner is one of those restaurants that they serve many types of food, for example they have noodles, they have pasta, they have hamburger, they have salad. Pretty much anyone in the family could order what they want. They have desserts, things like that.",,,,want (utt_0005_w040),have (utt_0005_w042),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0016,71.624219,72.200219,0.576,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",7,Todd,"Ah, yeah, there's an Italian restaurant. It's a very small family owned Italian restaurant. They have really good pasta,fresh salad. They always have really good specials. The only problem is that it's really crowded and it's a little expensive because it's very popular.",,,,restaurant (utt_0007_w014),have (utt_0007_w016),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0017,73.760219,74.384219,0.624,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",7,Todd,"Ah, yeah, there's an Italian restaurant. It's a very small family owned Italian restaurant. They have really good pasta,fresh salad. They always have really good specials. The only problem is that it's really crowded and it's a little expensive because it's very popular.",,,,pasta (utt_0007_w019),salad (utt_0007_w021),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0018,75.904219,76.648219,0.744,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",7,Todd,"Ah, yeah, there's an Italian restaurant. It's a very small family owned Italian restaurant. They have really good pasta,fresh salad. They always have really good specials. The only problem is that it's really crowded and it's a little expensive because it's very popular.",,,,always (utt_0007_w023),have (utt_0007_w024),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0019,78.464219,79.296219,0.832,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",7,Todd,"Ah, yeah, there's an Italian restaurant. It's a very small family owned Italian restaurant. They have really good pasta,fresh salad. They always have really good specials. The only problem is that it's really crowded and it's a little expensive because it's very popular.",,,,specials (utt_0007_w027),only (utt_0007_w029),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0020,81.288219,81.544219,0.256,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,6,Simon,"Well, that makes sense, that's why it's called a family diner, or family restaurant because I guess everyone in the family will be happy if they eat there. You said Italian restaurant.",8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",7,Todd,"Ah, yeah, there's an Italian restaurant. It's a very small family owned Italian restaurant. They have really good pasta,fresh salad. They always have really good specials. The only problem is that it's really crowded and it's a little expensive because it's very popular.",,,,crowded (utt_0007_w035),and (utt_0007_w036),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0021,83.960219,84.744219,0.784,0.25,partial_utterance_overlap,turn_boundary_by_word_alignment,medium,false,true,7,Todd,"Ah, yeah, there's an Italian restaurant. It's a very small family owned Italian restaurant. They have really good pasta,fresh salad. They always have really good specials. The only problem is that it's really crowded and it's a little expensive because it's very popular.",9,Todd,"Actually, they don't have pizza. They only have pasta.",,,,8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",popular (utt_0007_w044),oh (utt_0008_w001),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0022,85.952219,86.304219,0.352,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,7,Todd,"Ah, yeah, there's an Italian restaurant. It's a very small family owned Italian restaurant. They have really good pasta,fresh salad. They always have really good specials. The only problem is that it's really crowded and it's a little expensive because it's very popular.",9,Todd,"Actually, they don't have pizza. They only have pasta.",8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",,,,ah (utt_0008_w003),they (utt_0008_w005),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0023,90.264219,90.800219,0.536,0.25,partial_utterance_overlap,turn_boundary_by_word_alignment,medium,false,true,8,Simon,"Oh, really. Ah, do they have pizza? I like pizza.",10,Simon,OK. What were the other choices?,,,,9,Todd,"Actually, they don't have pizza. They only have pasta.",pasta (utt_0009_w009),ok (utt_0010_w001),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0024,94.696219,95.056219,0.36,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,10,Simon,OK. What were the other choices?,12,Simon,How do they serve that?,11,Todd,There's also a fish restaurant and there's a grilled chicken restaurant. A grilled chicken. That's pretty general.,,,,restaurant (utt_0011_w005),there's (utt_0011_w007),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0025,98.888219,99.184219,0.296,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,10,Simon,OK. What were the other choices?,12,Simon,How do they serve that?,11,Todd,There's also a fish restaurant and there's a grilled chicken restaurant. A grilled chicken. That's pretty general.,,,,that's (utt_0011_w015),general (utt_0011_w017),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0026,105.504219,106.176219,0.672,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,12,Simon,How do they serve that?,14,Simon,"Oh, that sounds really cool. Let's do that.",13,Todd,"It's actually, it's not a restaurant. This guy has a small stand, a very small area, and there are some small tables in front of it, and he just grills chicken, kind of on the street, and then he has little tables in front of his booth or stall and you eat chicken for really cheap.",,,,stand (utt_0013_w012),a (utt_0013_w013),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0027,109.712219,110.304219,0.592,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,12,Simon,How do they serve that?,14,Simon,"Oh, that sounds really cool. Let's do that.",13,Todd,"It's actually, it's not a restaurant. This guy has a small stand, a very small area, and there are some small tables in front of it, and he just grills chicken, kind of on the street, and then he has little tables in front of his booth or stall and you eat chicken for really cheap.",,,,it (utt_0013_w026),and (utt_0013_w027),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0028,111.960219,112.416219,0.456,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,12,Simon,How do they serve that?,14,Simon,"Oh, that sounds really cool. Let's do that.",13,Todd,"It's actually, it's not a restaurant. This guy has a small stand, a very small area, and there are some small tables in front of it, and he just grills chicken, kind of on the street, and then he has little tables in front of his booth or stall and you eat chicken for really cheap.",,,,chicken (utt_0013_w031),kind (utt_0013_w032),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0029,112.568219,112.832219,0.264,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,12,Simon,How do they serve that?,14,Simon,"Oh, that sounds really cool. Let's do that.",13,Todd,"It's actually, it's not a restaurant. This guy has a small stand, a very small area, and there are some small tables in front of it, and he just grills chicken, kind of on the street, and then he has little tables in front of his booth or stall and you eat chicken for really cheap.",,,,chicken (utt_0013_w031),of (utt_0013_w033),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0030,119.624219,120.088219,0.464,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,12,Simon,How do they serve that?,14,Simon,"Oh, that sounds really cool. Let's do that.",13,Todd,"It's actually, it's not a restaurant. This guy has a small stand, a very small area, and there are some small tables in front of it, and he just grills chicken, kind of on the street, and then he has little tables in front of his booth or stall and you eat chicken for really cheap.",,,,stall (utt_0013_w049),you (utt_0013_w051),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0031,121.504219,121.768219,0.264,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,12,Simon,How do they serve that?,14,Simon,"Oh, that sounds really cool. Let's do that.",13,Todd,"It's actually, it's not a restaurant. This guy has a small stand, a very small area, and there are some small tables in front of it, and he just grills chicken, kind of on the street, and then he has little tables in front of his booth or stall and you eat chicken for really cheap.",,,,chicken (utt_0013_w053),for (utt_0013_w054),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0032,126.400219,126.776219,0.376,0.25,partial_utterance_overlap,turn_boundary_by_word_alignment,medium,false,true,14,Simon,"Oh, that sounds really cool. Let's do that.",16,Simon,"Oh, yeah, I like beer.",,,,15,Todd,"Yeah, yeah, and they have beer, too.",too (utt_0015_w007),oh (utt_0016_w001),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0033,127.096219,127.488219,0.392,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,15,Todd,"Yeah, yeah, and they have beer, too.",17,Todd,"Cool, let's go.",16,Simon,"Oh, yeah, I like beer.",,,,oh (utt_0016_w001),yeah (utt_0016_w002),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0034,128.384219,128.776219,0.392,0.25,partial_utterance_overlap,turn_boundary_by_word_alignment,medium,false,true,15,Todd,"Yeah, yeah, and they have beer, too.",18,Simon,OK.,,,,16,Simon,"Oh, yeah, I like beer.",beer (utt_0016_w005),let's (utt_0017_w002),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0035,130.328219,132,1.672,0.25,partial_utterance_overlap,utterance_edge_overlap_requires_word_alignment,low,true,true,17,Todd,"Cool, let's go.",,,,,,,18,Simon,OK.,ok (utt_0018_w001),,forced_alignment,pause partially overlaps an utterance interval; word timing is required before location labeling
